Decision,Sex_assigned_at_birth,State,GPA,WorkExp_yrs,TestScore_1000,WritingScore_100,VolunteerLevel_5
Admit,Female,Florida,3.54,0.7,965,90,1
Admit,Female,Florida,3.55,0,962,97,0
Admit,Female,Colorado,3.59,1.7,969,93,0
Admit,Female,Colorado,3.6,0.9,969,97,2
Admit,Female,Colorado,3.6,1.2,967,94,2
Admit,Female,California,3.66,0.9,956,89,1
Admit,Female,California,3.7,1.2,969,94,2
Admit,Female,California,3.7,2.7,799,97,5
Admit,Female,Colorado,3.75,1.1,969,93,0
Admit,Female,Florida,3.77,1.4,969,99,4
Admit,Female,California,3.78,8.7,966,91,2
Admit,Female,Utah,3.78,1.2,968,87,2
Admit,Female,Florida,3.8,1.9,965,94,5
Admit,Female,Colorado,3.88,1,969,93,4
Admit,Female,Florida,3.9,4.7,961,93,1
Admit,Female,Colorado,3.9,3.8,967,98,3
Admit,Female,Florida,3.9,0,967,88,0
Admit,Female,California,3.9,2.8,967,95,3
Admit,Female,California,3.8,2.3,970,98,5
Decline,Female,California,2.34,0.8,754,76,1
Decline,Female,Colorado,2.85,4.6,762,75,4
Decline,Female,Colorado,2.98,0.7,763,,1
Decline,Female,Utah,3.01,1.4,769,69,2
Decline,Female,Florida,3.18,1.4,768,72,0
Decline,Female,Virginia,3.21,1.7,766,79,5
Decline,Female,Florida,3.33,1.6,766,81,5
Decline,Female,Utah,3.33,0.8,768,70,
Decline,Female,Virginia,3.37,0.9,766,79,2
Decline,Female,Colorado,3.44,3.2,757,74,3
Decline,Female,Florida,3.54,0.9,765,78,0
Decline,Female,Florida,-1,1.1,767,65,4
Decline,Female,Florida,2.6,1.7,769,81,4
Decline,Female,Florida,2.61,1.3,789,56,5
Banana,Female,Florida,2.9,0.7,789,82,4
Decline,Female,Florida,3.1,1.4,867,77,2
Decline,Female,Florida,3.2,2.7,896,89,1
Waitlist,Female,Utah,3.39,1.8,866,82,5
Waitlist,Female,Florida,3.4,1.9,859,88,4
Waitlist,Female,Alabama,3.41,1.2,868,85,0
Waitlist,Female,Colorado,3.43,1.5,869,85,1
Waitlist,Yack,Florida,3.44,7.2,865,84,2
Waitlist,Female,Florida,3.46,1.9,869,89,0
Waitlist,Female,California,3.47,2.2,867,77,5
Maybe,Female,Colorado,3.49,1.3,866,86,5
Waitlist,Female,Florida,3.5,1.7,869,73,2
Waitlist,Female,Colorado,3.5,3.5,869,83,4
Waitlist,Female,Florida,3.52,0.7,868,81,4
Waitlist,Female,Florida,3.53,1.7,869,87,2
Waitlist,Female,Vermont,3.53,3.3,862,85,1
Waitlist,Female,Colorado,3.54,1.2,868,83,2
Waitlist,Female,New York,3.55,2.2,866,74,1
Waitlist,Female,Florida,3.55,2,853,81,1
Waitlist,Female,Georgia,3.56,1,866,89,1
Waitlist,Female,Florida,high,1.3,869,84,3
Waitlist,Female,Utah,3.57,1.4,869,80,0
Waitlist,Female,Utah,3.58,0.9,864,82,5
Admit,Male,Florida,3.5,0.7,965,91,1
Admit,Male,Colorado,3.65,1.7,963,90,1
Admit,Male,Florida,3.66,2.2,967,91,2
Admit,Male,California,3.69,3.2,967,93,3
Admit,Male,California,3.7,1.4,966,94,0
Admit,Male,Florida,3.7,3.7,969,99,2
Admit,Male,Colorado,3.78,1.2,966,90,4
Admit,Male,Florida,3.8,1.4,969,97,4
Admit,Male,Florida,3.8,1.7,968,91,3
Admit,Male,California,3.87,1.7,9660,97,5
Admit,Male,California,3.88,1.5,967,95,5
Admit,Male,California,3.9,6.7,962,100,0
Admit,Male,Colorado,3.92,1.2,969,95,3
Admit,Male,Florida,3.93,0.8,969,99,4
Admit,Male,Colorado,3.8,0.8,969,93,1
Decline,Male,virginia,2.77,3.7,763,73,5
Decline,Male,Oregon,2.9,0.9,769,87,4
Decline,Male,Virginia,2.91,6.2,753,77,1
Decline,Male,Colorado,3,1.2,768,77,1
Decline,Male,Florida,3.1,1.9,751,76,0
Decline,Male,Colorado,3.11,1.7,758,69,3
Decline,Male,Virginia,3.22,3.2,769,75,1
Decline,Male,Colorado,3.32,1.7,768,78,4
Decline,Male,Florida,3.56,3.7,899,78,3
Decline,Male,Florida,3.74,1.3,800,56,4
Waitlist,Male,Florida,3.29,1.2,869,83,4
Waitlist,Male,California,3.42,0.7,869,84,3
Waitlist,Male,Florida,3.45,4.7,867,71,3
Waitlist,Male,Florida,3.51,3.4,865,88,3
Waitlist,Male,California,3.52,2.7,85,87,3
Decline,Male,Florida,2.81,9.2,764,56,2
